Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,CR1632,173.375,-119.55,90,top
C1,100n,C_0603_1608Metric,176.7,-65.125,-90,top
C2,100n,C_0603_1608Metric,173.35,-105.9,180,top
C3,100n,C_0603_1608Metric,168.675,-93.4,180,top
C4,100n,C_0603_1608Metric,178.55,-84.125,90,top
C5,100n,C_0603_1608Metric,176.423008,-96.548008,-45,top
D1,LED_ARGB,LRTB_R48G,174.25,-73.09,0,top
R1,43k,R_0603_1608Metric,168.275,-105.875,0,top
R2,210,R_0603_1608Metric,175.875,-77.9,-90,top
R3,60,R_0603_1608Metric,174.275,-77.875,-90,top
R4,60,R_0603_1608Metric,172.675,-77.875,-90,top
SW1,SW_MEC_5E,TS-1187A-B-A-B,168.4,-101.1,90,top
SW2,SW_MEC_5E,TS-1187A-B-A-B,173.75,-101.125,90,top
U1,SHTC3,SON100P200X200X80-5N,179.705,-65.1,270,top
U3,STM32F030C8Tx,LQFP-48_7x7mm_P0.5mm,173.975,-88.85,0,top
